p0,p1,p2,p3,p4,p5,p6,p7,size,objective,source,id,filename,speedup
192,cores,spread,static, ,#pragma unroll (6),#pragma omp for, ,M,8.2869,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_073.c,mmp_073,1.0446005140643666
64,sockets,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,M,8.31957,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_074.c,mmp_074,1.0404984873016272
4,cores,master,static, , ,#pragma omp for nowait, ,M,8.325339999999999,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_075.c,mmp_075,1.0397773544383773
4,threads,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,M,8.305539999999999,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_076.c,mmp_076,1.0422561326536264
4,threads,master,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.30996,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_077.c,mmp_077,1.0417017651107827
64,threads,master,static, ,#pragma unroll (6),#pragma omp for nowait, ,M,8.30688,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_078.c,mmp_078,1.0420880041604068
256,threads,master,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.3212,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_079.c,mmp_079,1.0402946690381196
4,threads,master,static, ,#pragma unroll (6),#pragma omp for nowait, ,M,8.35516,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_080.c,mmp_080,1.0360663350552233
4,cores,master,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.29619,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_081.c,mmp_081,1.0434307796711502
4,threads,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.28481,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_082.c,mmp_082,1.0448640342989157
48,sockets,spread,dynamic, , ,#pragma omp for, ,M,8.293569999999999,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_083.c,mmp_083,1.043760407158799
96,sockets,spread,dynamic, ,#pragma unroll,#pragma omp for, ,M,8.36883,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_084.c,mmp_084,1.034373980592269
32,sockets,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,M,8.3423,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_085.c,mmp_085,1.0376634741018664
192,sockets,spread,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.28536,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_086.c,mmp_086,1.0447946739791631
64,sockets,spread,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.30151,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_087.c,mmp_087,1.0427620999071252
192,sockets,spread,dynamic, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.30326,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_088.c,mmp_088,1.042542326748771
192,sockets,spread,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.3196,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_089.c,mmp_089,1.0404947353238136
4,sockets,spread,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.305819999999999,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_090.c,mmp_090,1.0422209968431775
32,sockets,spread,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.31663,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_091.c,mmp_091,1.040866312436648
32,sockets,close,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.31195,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_092.c,mmp_092,1.04145236677314
32,sockets,spread,static, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,M,8.33228,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_093.c,mmp_093,1.0389113183906444
32,sockets,close,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,M,8.314960000000001,results_rf_m_sw4lite,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/sw4lite/mmp_094.c,mmp_094,1.0410753629602545
