p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,actually_measured,lookahead,model_name,acquisition_function
16,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,10,none,sockets,-0.5713566666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,10,none,sockets,-1.27992,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,10,none,threads,0.3845331655770361,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,800, ,#pragma omp parallel for,256,32,20,none,sockets,-0.18134347162019537,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,10,scatter,sockets,0.07839377831371436,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,1000,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,200,none,sockets,-0.5584821872593171,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
16,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,10,none,sockets,-0.581975,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,40,compact,sockets,-1.2958433333333332,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,10,none,cores,-1.3983416666666668,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,100,none,sockets,-1.1344766666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,640,#pragma clang loop unrolling full,#pragma omp parallel for,64,32,20,none,sockets,-1.2120766666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,1000,#pragma clang loop unrolling full, ,256,128,20,balanced,threads,-1.2257116666666665,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,10,compact,sockets,-1.3463966666666665,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,100,balanced,sockets,-1.5284516666666665,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,100, , ,256,128,20,balanced,sockets,-0.5726466666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,20,none,threads,-1.184715,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,2000, , ,16,32,200,none,cores,-1.2951316666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,800,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,20,none,cores,-1.5941200000000002,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,640, , ,16,2,100,explicit,cores,-1.271,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,1000,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,64,explicit,sockets,-1.1299216666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,640, ,#pragma omp parallel for,16,16,200,scatter,cores,-1.1421066666666668,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,640, ,#pragma omp parallel for,32,16,100,none,cores,-1.2469833333333336,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,1000, ,#pragma omp parallel for,64,256,100,none,sockets,-1.1021666666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
192,2000, , ,96,16,64,disabled,sockets,-1.4696766666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
192,640, ,#pragma omp parallel for,4,32,100,balanced,sockets,-1.2749,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000, , ,8,256,200,explicit,sockets,-1.49656,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,800, ,#pragma omp parallel for,32,256,80,none,sockets,-1.4646766666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
16,640,#pragma clang loop unrolling full,#pragma omp parallel for,96,256,40,balanced,sockets,-0.5765283333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,2000,#pragma clang loop unrolling full, ,32,128,100,explicit,sockets,-1.2471166666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,640, ,#pragma omp parallel for,4,16,200,none,cores,-1.4427166666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
