p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
96,100,#pragma clang loop unrolling full, ,32,256,128,balanced,cores,0.11504500000000001,3359.452484369278
32,100, , ,256,96,10,balanced,sockets,0.09420999999999999,3375.896559715271
96,100,#pragma clang loop unrolling full, ,32,128,64,balanced,sockets,0.11204,3392.23623919487
96,100, , ,64,256,160,balanced,sockets,0.11039,3408.671760082245
96,100,#pragma clang loop unrolling full, ,32,64,20,balanced,cores,0.11239,3425.0698025226593
96,100,#pragma clang loop unrolling full, ,128,32,128,balanced,threads,0.118755,3441.6156923770905
64,100,#pragma clang loop unrolling full, ,32,2,100,balanced,cores,0.10617,3457.9307210445404
96,100,#pragma clang loop unrolling full, ,4,2,40,balanced,cores,0.11504,3474.5119047164917
96,100,#pragma clang loop unrolling full, ,16,64,40,balanced,cores,0.12592,3491.062495946884
32,100,#pragma clang loop unrolling full,#pragma omp parallel for,8,96,80,balanced,sockets,0.09405,3507.800086259842
96,100,#pragma clang loop unrolling full, ,2,256,200,balanced,threads,0.11545,3524.131850719452
96,100,#pragma clang loop unrolling full, ,32,4,40,balanced,sockets,0.11232500000000001,3540.6920363903046
64,100,#pragma clang loop unrolling full, ,32,16,100,compact,cores,0.11565,3557.013636827469
96,100, , ,96,256,40,balanced,cores,0.114745,3573.408593893051
96,100,#pragma clang loop unrolling full, ,32,4,128,balanced,cores,0.11133499999999999,3590.024628639221
96,100, ,#pragma omp parallel for,32,8,128,balanced,threads,0.114725,3606.890702009201
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,256,40,balanced,sockets,0.10299,3623.61358499527
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,100,balanced,threads,0.10626,3640.2646703720093
96,100, ,#pragma omp parallel for,32,128,100,scatter,cores,0.11993,3657.08376288414
