p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,8,80,balanced,cores,0.949235,2738.0642879009247
48,100,#pragma clang loop unrolling full, ,128,32,80,balanced,cores,0.93173,2756.9668760299683
64,200, ,#pragma omp parallel for,16,256,10,balanced,cores,0.9344049999999999,2776.1077535152435
48,100, ,#pragma omp parallel for,256,8,20,balanced,cores,0.93484,2795.426108121872
96,100,#pragma clang loop unrolling full,#pragma omp parallel for,96,2,100,balanced,cores,0.947905,2815.275455713272
256,100,#pragma clang loop unrolling full, ,96,8,10,balanced,cores,0.9725,2834.4880921840668
96,100, ,#pragma omp parallel for,96,32,10,balanced,cores,0.944015,2853.779111146927
32,400,#pragma clang loop unrolling full,#pragma omp parallel for,96,256,10,balanced,cores,0.92902,2873.0341806411743
48,200,#pragma clang loop unrolling full, ,64,64,64,balanced,cores,0.93374,2891.7133758068085
2,100, ,#pragma omp parallel for,32,32,100,balanced,cores,9.76514,2937.2791686058044
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,100,balanced,cores,0.930675,2956.6876590251923
96,100, ,#pragma omp parallel for,96,96,10,balanced,cores,0.953955,2975.9571714401245
64,200,#pragma clang loop unrolling full, ,96,2,100,balanced,cores,0.93634,2994.8506774902344
192,100, ,#pragma omp parallel for,96,8,80,balanced,cores,0.96507,3014.4245624542236
64,200,#pragma clang loop unrolling full, ,2,128,100,balanced,cores,0.94748,3033.241498708725
48,100, , ,64,16,100,balanced,cores,0.93388,3052.2206025123596
64,800, ,#pragma omp parallel for,128,256,100,balanced,cores,0.96208,3071.5540623664856
48,100, , ,128,8,100,balanced,cores,0.9288749999999999,3090.6445376873016
48,100, , ,32,32,160,balanced,sockets,0.932495,3109.5029125213623
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,2,100,balanced,cores,1.019255,3129.104551792145
48,400,#pragma clang loop unrolling full, ,2,4,100,balanced,cores,0.9546349999999999,3148.6320807933807
48,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,32,20,balanced,cores,0.9380999999999999,3167.8945009708405
64,100, ,#pragma omp parallel for,2,32,200,balanced,threads,0.93283,3187.005635023117
