objective,p0,p1,p2,p3,p4,p5
0.0051713333333333,#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,64,64
0.0036304999999999, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,64,80
0.0041308333333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,50
0.0036988333333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,32,80
0.0029083333333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,64,80
0.0038151666666666, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,8,80
0.0039931666666666, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,64,100
0.002999, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,64,80
0.0037475, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,64,80
0.0041828333333333,#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,80
0.0040388333333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,64,128
0.0022496666666666, , , ,32,64,80
0.0033848333333333,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,64,80
0.0037181666666666, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,64,80
0.0026149999999999, , , ,64,32,80
0.0021266666666666, , , ,128,64,80
0.0025023333333333, , , ,32,20,80
0.0033044999999999, , , ,128,64,4
0.0024076666666666, , , ,96,64,80
0.0024123333333333, , , ,128,2048,80
0.002302, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,64,80
0.0025228333333333, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,256
0.0021923333333333, , , ,128,64,256
0.0023425, , , ,128,4,80
0.0022379999999999, , , ,8,64,80
0.0022135, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,80
0.0024691666666666, , , ,20,80,80
0.0021275, , , ,20,64,80
0.0024313333333333, , , ,80,64,80
0.0015525, , , ,128,32,80
0.0024205, , , ,128,64,128
0.0024189999999999, , , ,128,64,64
0.0031801666666666,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,64,80
0.0035076666666666,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,32,80
0.0016441666666666, , , ,20,32,80
0.0024096666666666, , , ,128,80,80
0.0022518333333333, , , ,128,32,256
0.00244, , , ,80,32,80
0.0035686666666666, , , ,128,32,4
0.0038526666666666, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,32,80
0.0024568333333333, , , ,128,16,80
0.0031883333333333, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,8
0.0036356666666666, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,32,80
0.0022033333333333, , , ,50,32,50
0.0022623333333333, , , ,96,32,50
0.002641, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,80,80
0.0024166666666666, , , ,4,2048,80
0.0023858333333333, , , ,16,32,80
0.0024358333333333, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,80
0.0022218333333333, , , ,128,80,100
0.0025003333333333, , , ,128,8,80
0.0026485, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,80
0.0034708333333333,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,32,128
0.0037094999999999, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,80,80
0.0021916666666666, , , ,32,32,80
0.0024465, , , ,128,20,80
0.0022135, , , ,8,32,80
0.0024286666666666, , , ,50,32,80
0.0036501666666666, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,16,80
0.0046158333333333,#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,64,80
0.0026493333333333, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,80
0.0024563333333333, , , ,128,128,80
0.0034688333333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,32,64
0.0018368333333333, , , ,128,100,80
0.0024194999999999, , , ,100,32,80
0.0024413333333333, , , ,96,32,80
0.0024373333333333, , , ,128,32,50
0.0027815, , , ,128,32,20
0.0015605, , , ,128,32,64
0.0024133333333333, , , ,4,32,80
0.0027305, , , ,128,32,16
0.0024488333333333, , , ,128,20,32
0.0026331666666666, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,256
0.0034951666666666,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,100,80
0.0024131666666666, , , ,128,50,80
0.0022916666666666, , , ,20,16,80
0.0090155, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,128,4
0.0036993333333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,2048,80
0.0024125, , , ,128,32,32
0.0025145, , , ,80,32,20
0.0024274999999999, , , ,128,32,100
0.0023528333333333, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,80
0.0026426666666666, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,8,80
0.0024161666666666, , , ,128,80,32
0.0033506666666666,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,32,80
0.0032821666666666,#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,80
0.0030018333333333, , , ,128,4,16
0.0026913333333333, , , ,128,50,8
0.0023161666666666, , , ,32,16,80
0.0035796666666666, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,80,80
0.0036886666666666,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,32,80
0.0038755, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,80,128
0.0026758333333333, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,20
0.00296, , , ,128,32,8
0.0020195, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,20
0.0027115, , , ,128,64,16
0.0026753333333333, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,32,64
38.90027183333333, , , ,16,2048,4
73.37045583333332, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,64,8
47.36609516666667,#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,128,64
33.510699666666675, , , ,4,50,4
41.98703966666667, , , ,100,50,4
37.43189083333333, , , ,4,50,8
29.694926666666664, , , ,4,20,32
28.799444833333336, , , ,4,50,80
28.319016166666668, , , ,4,20,80
33.90830366666667, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,80
28.607695000000003, , , ,4,64,80
33.467380000000006,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,50,80
27.929173833333333, , , ,4,16,80
29.116359, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,80
28.38868283333333, , , ,32,20,80
33.34999416666667, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,20,80
28.59443633333333, , , ,4,80,80
28.46273233333334, , , ,80,16,80
28.491941166666667, , , ,96,16,80
33.572596833333336,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,16,80
27.955589333333336, , , ,16,16,80
28.205961166666665, , , ,50,16,80
28.531725666666663, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,80
29.991374000000004, , , ,4,8,50
27.35455233333333, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,80
26.725342, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,8,80
33.450521333333334, ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,80
