p0,p1,p2,p3,p4,p5,isize,objective,elapsed_sec
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,32,64,30,0.0026995,9707.983868598938
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,100,100,30,0.004732,10289.101361513138
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,8,64,30,0.004065,10336.643707990646
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,32,50,30,0.0029375,10361.989001274109
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,20,30,0.0042605,10830.506230592728
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,80,30,0.0062985,10857.319150447844
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,4,8,30,0.0096165,10972.686398744583
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,64,50,30,0.002627,11001.078107595444
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,128,64,30,0.0035,11451.251202344894
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,8,16,30,0.0117045,11481.649358510973
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,20,80,30,0.001535,11752.459552049637
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,8,30,0.010092,12230.59349322319
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,2048,16,30,0.003928,12261.053547620771
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,2048,80,30,0.002453,12288.9653506279
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,8,20,30,0.008018,12809.806431531906
 , , ,64,8,100,30,0.0028615,10.167952775955198
 , , ,50,4,256,30,0.002354,18.67429518699646
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,64,30,0.0023954999999999,27.49924898147583
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,100,80,30,0.005258,36.567365407943726
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,20,30,0.003745,46.030522108078
 , , ,96,64,100,30,0.002624,54.26880359649658
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,128,50,30,0.0048575,63.4430730342865
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,100,30,0.0023435,72.35111665725708
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,128,256,30,0.0026079999999999,81.22766137123108
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,50,8,30,0.0079809999999999,90.50582456588744
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,50,64,30,0.006598,100.231520652771
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,8,30,0.003295,109.30683732032776
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,4,30,0.0095635,118.824378490448
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,32,16,30,0.004117,127.97008061408997
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,32,4,30,0.0061965,137.18873476982114
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,8,30,0.0080425,146.4211232662201
 , , ,100,64,20,30,0.0024739999999999,154.7201578617096
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,20,30,0.003865,163.74150586128238
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,64,4,30,0.0139685,173.75198769569397
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,100,128,30,0.004786,182.7396070957184
 , , ,100,4,256,30,0.002909,191.2729518413544
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,8,30,0.0101685,200.9618570804596
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,80,30,0.004773,211.01507186889648
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,80,16,30,0.004182,220.20590686798096
 , , ,4,2048,80,30,0.0024454999999999,229.0474798679352
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,20,100,30,0.003329,238.15535306930545
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,64,30,0.006128,247.6627266407013
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,100,100,30,0.004757,257.19984078407293
 , , ,4,80,256,30,0.0024135,265.7899787425995
 , , ,8,80,32,30,0.002427,274.40096759796137
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,20,50,30,0.0061145,284.20392537117004
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,64,128,30,0.002838,293.1167910099029
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,4,16,30,0.0053925,303.95701241493225
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,80,30,0.0027345,312.0806303024292
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,256,30,0.0037284999999999,322.6805474758148
