objective,p0,p1,p2,p3,p4,p5
32.207258833333334, ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,128
36.63562100000001, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,50
21.376079333333337, , , ,4,50,128
21.402677166666667, , , ,4,32,128
27.359691, , , ,128,50,128
32.49328583333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,50,100
40.203535,#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,16,16
21.8072035, , , ,4,128,128
27.934980833333334,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,20,128
27.04483383333334, , , ,4,4,80
27.81243983333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,50,128
22.5952265, , , ,4,2048,128
22.3729395, , , ,32,50,128
27.543763666666667,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,50,128
28.232231833333334, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,50,128
27.0298575, , , ,50,128,128
27.840890666666667, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,50,128
32.573109333333335, , , ,64,50,64
38.0530965, , , ,4,8,4
27.5734995, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,32,128
21.490598, , , ,4,20,128
21.707901333333336, , , ,4,16,128
23.52904, , , ,50,50,128
48.16344983333334,#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,32
31.19835066666667, , , ,4,50,32
21.522077, , , ,4,80,128
29.25925733333333, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,80,128
21.357896, , , ,4,4,128
28.320007,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,4,128
29.979878666666668, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,64,128
33.2013295, , , ,4,4,16
15.8183145, , , ,4,4,256
22.31430233333333, ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,4,256
21.669495666666663,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,4,256
38.6018495, , , ,4,20,8
22.145773166666668, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,4,256
14.5781025, , , ,4,20,256
31.502213, , , ,4,16,20
20.408801166666667, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,16,256
16.412385333333336, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,256
20.4744575,#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,20,256
32.581826666666664,#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,256
15.843857833333333, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,20,256
14.606766333333333, , , ,8,20,256
30.06013783333333, , , ,4,8,50
23.1618865, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,128
14.6928755, , , ,64,20,256
15.040447166666668, , , ,4,8,256
14.572002333333335, , , ,20,20,256
20.453892166666662, ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,20,256
16.984447333333335, , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,20,256
14.545632500000002, , , ,20,80,256
14.619650833333331, , , ,96,20,256
