p0,p1,p2,p3,p4,p5,p6,p7,objective,actually_measured,lookahead,model_name,acquisition_function
96,sockets,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-16.1583,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
48,cores,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-15.651566666666668,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
4,cores,master,static, , ,#pragma omp for, ,-2.6876706773843515,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,threads,close,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,0.0,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
4,threads,spread,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-15.7519,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
4,cores,close,static, ,#pragma unroll,#pragma omp for nowait, ,-15.697166666666668,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,cores,master,static, , ,#pragma omp for, ,-15.691533333333334,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
48,cores,close,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-15.769133333333334,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
48,cores,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-15.834866666666665,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
48,threads,close,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-6.502227783203125,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,sockets,master,dynamic, , ,#pragma omp for, ,-2.347248057505318,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
2,cores,master,static, , ,#pragma omp for, ,-15.746066666666666,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
4,threads,close,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-15.707366666666667,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
48,sockets,close,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-15.6862,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
8,sockets,master,dynamic,#pragma omp parallel for, ,#pragma omp for, ,-15.887099999999998,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
96,sockets,close,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-15.723333333333334,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
96,cores,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-1.3519241296489781,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
2,cores,close,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,0.0,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,sockets,master,static, , ,#pragma omp for, ,-10.168985765159588,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
32,cores,close,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,0.0,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
48,threads,close,static, , ,#pragma omp for, ,-1.9369413372238573,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,cores,master,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-5.90968641540656,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
64,cores,close,static,#pragma omp parallel for, ,#pragma omp for, ,-16.009966666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,sockets,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,-16.10246666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,threads,close,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-15.694966666666668,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,threads,close,static, , ,#pragma omp for nowait, ,-15.762833333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
2,cores,close,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-15.694133333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,cores,spread,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-15.680333333333335,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
4,cores,close,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-15.766833333333333,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
96,cores,spread,dynamic, , ,#pragma omp for, ,-15.696033333333332,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
96,threads,master,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-16.188033333333333,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
192,sockets,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-16.6471,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
192,sockets,close,dynamic, ,#pragma unroll,#pragma omp for, ,-2.3199183280315583,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
2,cores,close,static,#pragma omp parallel for, ,#pragma omp for, ,-10.663349744657936,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
128,cores,master,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-16.31866666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,threads,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,-15.6708,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
96,threads,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,-16.164266666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,sockets,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,-17.0604,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
192,cores,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-15.7166,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,sockets,spread,dynamic, ,#pragma unroll,#pragma omp for, ,-15.700166666666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
64,cores,close,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-15.742166666666668,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,sockets,close,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-15.793966666666668,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,cores,close,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,-15.929400000000001,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
2,cores,close,static,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-15.701299999999998,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
96,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,-5.235920193027152,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
48,threads,close,static,#pragma omp parallel for, ,#pragma omp for, ,-15.943933333333334,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
