p0,p1,p2,p3,p4,p5,p6,p7,p8,size,objective,source,id,filename,speedup
64,100, , ,2,4,100,compact,sockets,S,0.10926,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_053.c,mmp_053,1.7243730550979315
256,1600,#pragma clang loop unrolling full, ,32,8,10,scatter,sockets,S,0.4398,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_054.c,mmp_054,0.42838790359254203
64,100, ,#pragma omp parallel for,8,256,20,compact,cores,S,0.105405,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_055.c,mmp_055,1.7874389260471515
64,1600, , ,32,96,100,compact,sockets,S,0.1461299999999999,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_056.c,mmp_056,1.2892972011222892
64,1600,#pragma clang loop unrolling full, ,32,96,40,compact,sockets,S,0.13644,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_057.c,mmp_057,1.3808633831720902
64,1600, , ,32,96,200,none,cores,S,0.2171,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_058.c,mmp_058,0.8678258866881622
64,1600,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,160,disabled,sockets,S,0.2175600000000001,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_059.c,mmp_059,0.8659909909909906
64,1600, ,#pragma omp parallel for,2,96,100,scatter,cores,S,0.14933,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_060.c,mmp_060,1.2616687872497154
64,1600,#pragma clang loop unrolling full, ,128,96,40,scatter,sockets,S,0.1353099999999999,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_061.c,mmp_061,1.3923952405587179
64,1600, ,#pragma omp parallel for,2,96,40,scatter,cores,S,0.13744,results_rf_s_rsbench,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/rsbench/mmp_062.c,mmp_062,1.370816356228172
