p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,objective
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,1024,80,20,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,7.7440845
 , , ,100,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,4.843118833333334
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,8.713490666666667
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,80,512,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,81.1250115
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,4.997362833333333
 , , ,100,80,32,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,49.43792366666667
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,80,80,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,68.795723
 , , ,96,80,80,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,69.23550933333333
 , , ,100,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),6.4936861666666665
 , , ,100,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,4.886680833333334
 , , ,100,80,16,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,15.782917333333335
 , , ,100,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.4733351666666668
 , , ,50,80,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,4.871331333333333
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,9.030837666666667
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,512,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,4.380128999999999
 , , ,16,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),4.241145166666667
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,2048,512,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),81.44412200000001
 , , ,100,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,2.900872833333333
 , , ,100,64,1024,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,82.09191866666667
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,64,20,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,13.356467333333335
 , , ,100,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,4.7257805
 , , ,4,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,5.002844666666667
 , , ,96,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.328701666666667
 , , ,100,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,4.743351666666666
 , , ,50,64,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,2.5542903333333333
