p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,objective
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,80,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.005281166666666666
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,256,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0045344999999999995
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,256,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.004167333333333334
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,128,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.004337333333333333
 , , ,20,256,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.004359666666666667
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,256,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,0.0043683333333333334
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,256,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0049791666666666665
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,256,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.004297
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,2048,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.004364666666666666
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,256,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.004845833333333333
 , , ,96,256,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.004378000000000001
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,256,1024, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.020816166666666667
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,256,32, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,0.0138375
