p0,p1,p2,p3,p4,p5,p6,p7,p8,isize,objective,elapsed_sec
8,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,8,80,balanced,sockets,500000,1.271025,5423.135922193527
96,100, , ,96,2,40,scatter,cores,500000,0.325655,5545.541422605514
4,1600, ,#pragma omp parallel for,256,256,80,explicit,threads,500000,2.89693,6041.8298165798205
8,1600,#pragma clang loop unrolling full,#pragma omp parallel for,96,16,100,disabled,threads,500000,1.473065,6463.238599061967
8,1280, , ,2,4,100,compact,threads,500000,1.797985,6797.9064757823935
4,800,#pragma clang loop unrolling full, ,96,96,160,explicit,sockets,500000,2.6571800000000003,7152.3429667949695
192,2000, , ,64,8,64,disabled,threads,500000,0.44955,7460.678356885909
256,100,#pragma clang loop unrolling full, ,128,128,200,none,sockets,500000,0.30162,7954.01503586769
4,1600,#pragma clang loop unrolling full, ,8,128,128,balanced,sockets,500000,3.500035,8458.65821647644
48,100, ,#pragma omp parallel for,2,96,160,compact,threads,500000,0.364905,8724.982949256897
32,1000, ,#pragma omp parallel for,64,96,80,none,cores,500000,0.42683,8993.82675909996
16,100,#pragma clang loop unrolling full, ,64,16,64,none,cores,500000,0.74989,9300.272640228271
2,800,#pragma clang loop unrolling full, ,2,4,40,balanced,cores,500000,5.8337,9875.750473976135
2,2000,#pragma clang loop unrolling full,#pragma omp parallel for,8,96,10,balanced,sockets,500000,4.949764999999998,10466.02728509903
64,100, , ,96,96,160,balanced,cores,500000,0.51957,10821.60664010048
192,200,#pragma clang loop unrolling full,#pragma omp parallel for,96,256,128,scatter,cores,500000,0.32279,11297.05763554573
4,200,#pragma clang loop unrolling full,#pragma omp parallel for,128,8,128,none,cores,500000,2.94021,11689.415619373323
32,200,#pragma clang loop unrolling full,#pragma omp parallel for,128,32,160,compact,sockets,500000,0.505775,11978.3673517704
32,100, ,#pragma omp parallel for,8,64,100,balanced,cores,500000,0.35362,12317.503398895264
32,800, , ,2,4,40,none,sockets,500000,0.47145,12748.341755867004
256,100, ,#pragma omp parallel for,128,16,64,none,cores,500000,0.31918,13152.707070827482
32,640, ,#pragma omp parallel for,4,32,80,compact,threads,500000,0.5603499999999999,13568.319935798643
192,1600, , ,2,128,200,balanced,cores,500000,0.443945,14047.835390090942
4,800, , ,32,256,128,none,threads,500000,2.6042050000000003,14554.38063097
192,200, ,#pragma omp parallel for,4,2,40,explicit,cores,500000,0.313075,15224.316304922104
128,200, ,#pragma omp parallel for,2,16,10,compact,cores,500000,0.31305,15606.18740963936
2,1600, , ,256,96,160,disabled,cores,500000,5.8923000000000005,16221.28379368782
128,1000,#pragma clang loop unrolling full, ,8,32,200,none,cores,500000,0.390755,16738.75716638565
32,1280,#pragma clang loop unrolling full, ,256,16,10,compact,cores,500000,0.6330899999999999,17403.130958557133
48,640,#pragma clang loop unrolling full,#pragma omp parallel for,4,64,200,disabled,cores,500000,0.34794,17967.484136819843
96,1600,#pragma clang loop unrolling full, ,16,16,64,none,threads,500000,0.380735,18520.3512415886
192,1600,#pragma clang loop unrolling full, ,32,4,10,scatter,cores,500000,0.43904,18917.01182103157
2,1000,#pragma clang loop unrolling full, ,8,32,128,compact,sockets,500000,4.6006,19530.051068782806
96,1000, , ,4,96,128,balanced,cores,500000,0.351675,19.5078284740448
48,100, ,#pragma omp parallel for,8,16,80,disabled,threads,500000,0.331085,36.178145170211785
128,100, ,#pragma omp parallel for,128,2,10,none,cores,500000,0.18509,52.57888746261597
96,400, ,#pragma omp parallel for,64,16,64,none,cores,500000,0.370765,69.85521221160889
8,400,#pragma clang loop unrolling full, ,96,4,10,none,cores,500000,1.3928,96.34406518936156
