p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,actually_measured,lookahead,model_name,acquisition_function
128,100,#pragma clang loop unrolling full, ,96,256,200,none,sockets,-0.0063867683879852,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
32,1600,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,20,explicit,cores,0.0058152569737842,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
32,800, ,#pragma omp parallel for,256,96,20,explicit,sockets,0.0010365116957371,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,2000, , ,96,256,200,none,threads,-15.119812115349031,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
128,2000, ,#pragma omp parallel for,96,128,100,none,threads,1.3205840712638517,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
2,1000, ,#pragma omp parallel for,16,256,100,disabled,cores,-89.81557,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
2,2000, ,#pragma omp parallel for,96,96,100,compact,sockets,-89.61787499999998,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000, ,#pragma omp parallel for,96,128,100,compact,threads,-17.96726,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,2000, ,#pragma omp parallel for,96,128,20,none,threads,-18.164988333333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
2,1000,#pragma clang loop unrolling full, ,2,8,100,balanced,cores,-86.41505833333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,100,explicit,cores,-22.145116666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,10,balanced,cores,-42.97513833333334,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
2,1000,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,10,explicit,cores,-89.54289166666666,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
128,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,80,none,sockets,-18.58100333333333,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,2000, ,#pragma omp parallel for,256,128,128,explicit,cores,-18.673246666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
48,1600, ,#pragma omp parallel for,256,128,20,explicit,cores,-19.49499,True,0,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
