p0,p1,p2,p3,p4,p5,p6,p7,p8,isize,objective,elapsed_sec
96,2000,#pragma clang loop unrolling full, ,8,2,200,none,sockets,10000000,18.66405,11306.312207460403
8,640, , ,64,128,64,scatter,sockets,10000000,23.30642000000001,11529.30682849884
192,800,#pragma clang loop unrolling full,#pragma omp parallel for,32,16,40,scatter,sockets,10000000,18.45727,11711.980557918549
192,200,#pragma clang loop unrolling full,#pragma omp parallel for,128,256,20,none,sockets,10000000,17.956400000000006,11896.964299201964
16,1000,#pragma clang loop unrolling full,#pragma omp parallel for,96,8,10,disabled,sockets,10000000,13.73103,12033.893495082855
2,400,#pragma clang loop unrolling full, ,2,32,80,compact,cores,10000000,89.407445,12875.670545578005
16,2000, ,#pragma omp parallel for,32,32,20,scatter,sockets,10000000,12.69707,13005.212902545927
64,1280,#pragma clang loop unrolling full, ,2,64,64,compact,cores,10000000,19.31997,13194.01020503044
8,1600,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,160,disabled,cores,10000000,22.763905,13413.354593515396
256,2000,#pragma clang loop unrolling full, ,16,2,80,disabled,sockets,10000000,19.209615,13628.746082782744
8,2000,#pragma clang loop unrolling full,#pragma omp parallel for,16,4,200,scatter,cores,10000000,23.98105,13857.99291062355
192,1600,#pragma clang loop unrolling full, ,16,2,200,disabled,cores,10000000,19.699425,14401.277169942856
256,1000, , ,2,256,160,explicit,threads,10000000,19.441745,14896.804638624191
256,400, , ,8,64,80,disabled,sockets,10000000,20.150075,15340.212421894072
64,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,64,none,sockets,10000000,24.427385,15906.978872537611
256,2000,#pragma clang loop unrolling full,#pragma omp parallel for,4,96,10,compact,threads,10000000,21.93899,16704.746032953262
8,100, , ,128,96,64,compact,sockets,10000000,29.54032500000001,17732.067271947857
48,1600, ,#pragma omp parallel for,128,128,160,scatter,threads,10000000,18.75032,18460.59066843985
4,1280,#pragma clang loop unrolling full, ,8,64,160,scatter,sockets,10000000,45.2735,19829.120445251465
192,1000,#pragma clang loop unrolling full, ,32,8,200,compact,sockets,10000000,19.148245000000006,20309.99494051933
8,1000,#pragma clang loop unrolling full, ,128,64,20,scatter,threads,10000000,24.181165,20947.64232420921
96,200, ,#pragma omp parallel for,256,16,200,scatter,threads,10000000,18.54355,21486.07330918312
96,1600,#pragma clang loop unrolling full,#pragma omp parallel for,64,4,40,compact,cores,10000000,19.487225,21910.32472920417
96,400, ,#pragma omp parallel for,64,128,10,none,cores,10000000,20.803915,22498.9993326664
4,1600,#pragma clang loop unrolling full,#pragma omp parallel for,256,8,10,none,threads,10000000,44.74288,23270.18247628212
2,400, ,#pragma omp parallel for,8,64,100,explicit,threads,10000000,89.51468,24772.143688201904
64,100,#pragma clang loop unrolling full,#pragma omp parallel for,128,4,10,compact,sockets,10000000,19.19400000000001,25532.28064036369
192,2000,#pragma clang loop unrolling full, ,256,256,20,none,cores,10000000,19.05793,26092.605927467343
2,1280, , ,16,8,20,scatter,threads,10000000,88.604085,27337.17099928856
64,800, ,#pragma omp parallel for,4,96,10,explicit,cores,10000000,19.481535,27819.995465755463
32,100,#pragma clang loop unrolling full, ,16,128,10,balanced,threads,10000000,16.65322,28391.021126747128
48,400,#pragma clang loop unrolling full, ,128,4,100,balanced,threads,10000000,15.288479999999998,28962.35959529877
16,2000,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,80,explicit,cores,10000000,12.14261,29690.38478159904
48,1000, ,#pragma omp parallel for,96,4,100,scatter,sockets,10000000,20.75907,30531.012550115585
256,800, ,#pragma omp parallel for,256,128,40,compact,threads,10000000,16.474775,31019.851718902588
8,100, ,#pragma omp parallel for,16,32,10,disabled,sockets,10000000,26.048275,31798.25629234314
128,1600,#pragma clang loop unrolling full, ,2,96,80,compact,threads,10000000,19.840115,32457.585755586628
128,800, , ,2,64,20,balanced,threads,10000000,16.752370000000006,33692.22314023972
128,1000, ,#pragma omp parallel for,96,8,40,none,sockets,10000000,16.05656,34459.17016506195
192,1600, ,#pragma omp parallel for,128,256,128,compact,cores,10000000,16.399,35651.56769657135
192,1600, ,#pragma omp parallel for,32,4,64,explicit,sockets,10000000,19.01051,36279.97640657425
256,400, , ,256,96,20,none,threads,10000000,16.20744,37195.67387628555
8,1000,#pragma clang loop unrolling full, ,16,32,20,explicit,threads,10000000,22.40442,38288.14785170555
