p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,actually_measured,lookahead,model_name,acquisition_function
256,1000, ,#pragma omp parallel for,256,256,160,explicit,threads,-1.5478466666666668,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,200,explicit,cores,-1.4172266666666669,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,1280,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,100,explicit,sockets,-1.5709316666666666,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,100,#pragma clang loop unrolling full, ,256,256,200,explicit,cores,-1.0849183333333332,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,96,128,10,explicit,threads,0.045680042298045,False,1,"GaussianProcessRegressor(kernel=RationalQuadratic(alpha=1, length_scale=1))",ei
256,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,200,explicit,cores,-1.1818645265319248,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,96,256,200,explicit,sockets,-1.1493229575173822,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,200,explicit,sockets,-1.155335636852324,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,128,disabled,threads,3.787035486261259e-16,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,128,256,200,explicit,sockets,-1.1529690647247064,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,100,#pragma clang loop unrolling full, ,128,256,80,disabled,sockets,0.128806616382981,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,100,#pragma clang loop unrolling full, ,64,256,80,balanced,threads,-1.3915516666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,100,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,80,explicit,sockets,-1.1568766666666668,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,100,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,80,disabled,sockets,-1.1070766666666667,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,200,#pragma clang loop unrolling full,#pragma omp parallel for,128,256,80,explicit,cores,-1.18307,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,400,#pragma clang loop unrolling full, ,128,256,80,explicit,sockets,-1.39344,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,256,200,explicit,sockets,-1.061006581724122,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,128,256,200,explicit,sockets,-1.50545,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,1000,#pragma clang loop unrolling full, ,256,256,200,explicit,sockets,-1.5846116666666663,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,8,256,160,explicit,sockets,-1.4858833333333334,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,128,explicit,sockets,-1.5520749999999996,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
