p0,p1,p2,p3,p4,p5,p6,p7,p8,size,objective,source,id,filename,speedup
4,200, , ,4,16,80,balanced,sockets,M,3.2542495727539062,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_057.c,mmp_057,1.1151928390236812
4,200, , ,2,8,40,balanced,sockets,M,3.3312931060791016,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_058.c,mmp_058,1.0894015339894432
4,200,#pragma clang unrolling full, ,8,8,200,balanced,sockets,M,3.2473561763763428,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_059.c,mmp_059,1.1175601390238274
4,200, , ,8,64,10,balanced,cores,M,3.3030931949615483,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_060.c,mmp_060,1.0987022181108266
4,200,#pragma clang unrolling full, ,8,256,20,balanced,sockets,M,3.2793667316436768,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_061.c,mmp_061,1.106651410747237
4,200, , ,8,16,10,balanced,cores,M,3.2829837799072266,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_062.c,mmp_062,1.1054321505157072
4,200, , ,8,8,64,scatter,cores,M,3.2885761260986333,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_063.c,mmp_063,1.103552321969932
4,200,#pragma clang unrolling full, ,8,96,10,balanced,threads,M,3.2545545101165767,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_064.c,mmp_064,1.1150883503871738
4,200,#pragma clang unrolling full,#pragma omp parallel for,8,2,80,balanced,threads,M,3.2818613052368164,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_065.c,mmp_065,1.105810234619027
4,200,#pragma clang unrolling full,#pragma omp parallel for,8,4,160,balanced,threads,M,3.356119394302368,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_066.c,mmp_066,1.0813428825244191
4,40,#pragma clang unrolling full, ,8,8,80,balanced,threads,M,3.3981053829193115,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_067.c,mmp_067,1.0679821285628457
4,20, ,#pragma omp parallel for,8,8,10,scatter,cores,M,3.2874329090118413,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_068.c,mmp_068,1.1039360864164052
4,200, ,#pragma omp parallel for,8,8,10,compact,cores,M,3.3188939094543457,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_069.c,mmp_069,1.0934714754192574
4,200, , ,8,64,10,compact,threads,M,3.281402587890625,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_070.c,mmp_070,1.1059648192280864
4,40,#pragma clang unrolling full, ,8,8,160,compact,sockets,M,3.2729194164276123,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_071.c,mmp_071,1.1088314004052706
4,200,#pragma clang unrolling full,#pragma omp parallel for,8,128,160,compact,cores,M,3.315554141998291,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_072.c,mmp_072,1.094572932458209
4,200, , ,8,128,80,compact,sockets,M,3.156522989273072,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_073.c,mmp_073,1.1497194325097544
4,200, , ,8,256,128,compact,sockets,M,3.178219556808472,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_074.c,mmp_074,1.1418707093903049
4,128, , ,8,64,100,balanced,sockets,M,3.2053062915802,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_075.c,mmp_075,1.1322212262410323
4,200,#pragma clang unrolling full,#pragma omp parallel for,8,8,80,balanced,sockets,M,3.336910486221313,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_076.c,mmp_076,1.0875676272756745
4,40, , ,8,64,80,scatter,sockets,M,3.284698963165283,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_077.c,mmp_077,1.104854922971039
4,100, , ,8,2,80,compact,sockets,M,3.1720821857452406,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_078.c,mmp_078,1.144080010360266
4,40, , ,8,128,80,compact,sockets,M,3.203294038772583,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_079.c,mmp_079,1.1329324676424681
4,10, ,#pragma omp parallel for,8,8,80,balanced,sockets,M,3.3591730594635014,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_080.c,mmp_080,1.0803598849148432
4,64, , ,8,8,80,compact,sockets,M,3.3766632080078125,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_081.c,mmp_081,1.0747639300610503
4,10, , ,8,256,80,compact,sockets,M,3.372695207595825,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_082.c,mmp_082,1.0760283976321687
4,200,#pragma clang unrolling full,#pragma omp parallel for,8,8,100,compact,cores,M,3.3157613277435303,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_083.c,mmp_083,1.0945045379369167
4,100,#pragma clang unrolling full, ,8,128,100,compact,sockets,M,3.2529959678649902,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_084.c,mmp_084,1.1156226001450888
4,10, ,#pragma omp parallel for,8,16,80,compact,cores,M,3.3079433441162114,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_085.c,mmp_085,1.097091286761632
4,100, ,#pragma omp parallel for,8,8,100,compact,threads,M,3.336083173751831,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_086.c,mmp_086,1.0878373322598094
4,128, , ,8,16,100,compact,sockets,M,3.3262042999267583,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_087.c,mmp_087,1.0910682245257581
4,200,#pragma clang unrolling full, ,8,16,100,balanced,cores,M,3.31087064743042,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_088.c,mmp_088,1.0961212944841567
4,40, ,#pragma omp parallel for,8,128,100,balanced,cores,M,3.373720645904541,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_089.c,mmp_089,1.0757013401025128
4,200, , ,8,16,100,scatter,cores,M,3.3753042221069336,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_090.c,mmp_090,1.0751966581743149
4,200, ,#pragma omp parallel for,8,256,100,compact,sockets,M,3.3276662826538086,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_091.c,mmp_091,1.0905888727029491
4,20, ,#pragma omp parallel for,8,128,100,balanced,cores,M,3.341093778610228,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_092.c,mmp_092,1.0862059135139297
4,100, ,#pragma omp parallel for,8,64,100,compact,threads,M,3.308483123779297,results_rf_m_amg,/gpfs/fs1/home/trandall/ytune_2022/ytopt_tlranda/ytopt/benchmark/rebuild_collations/amg/mmp_093.c,mmp_093,1.0969122961054953
