p0,p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,100,0.0079235,1796.965321779251
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,20,0.0099735,1808.6290156841278
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,2048,256,0.0096055,1820.2081859111786
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,100,4,0.0426035,1832.0849258899689
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,128,100,0.009667499999999999,1843.1938300132751
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,2048,16,0.019992000000000003,1855.2650909423828
 , , ,4,128,16,0.008383000000000002,1866.3848404884338
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,256,0.0138705,1877.9256465435028
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,16,0.0082675,1889.2440962791443
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,100,50,0.00957,1900.3369085788727
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,100,32,0.0150905,1911.890637397766
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,128,256,0.009611,1923.571052789688
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,32,256,0.0116315,1935.4049232006073
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,128,8,0.027986499999999997,1947.0946245193481
 , , ,4,32,32,0.007145,1958.5578961372375
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,80,4,0.043371,1970.2726032733917
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,100,0.0079375,1981.3411259651184
