p0,p1,p2,p3,p4,p5,objective,elapsed_sec
 , , ,4,64,100,0.0002915,1973.345686674118
 , , ,4,16,80,0.0002475,1984.2614512443542
 , , ,4,16,50,0.00026500000000000004,1995.1057438850403
 , , ,4,16,128,0.0002515,2006.13827586174
 , , ,50,16,256,0.00024799999999999996,2016.9479529857635
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,8,4,0.0038405,2029.8525099754333
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,80,4,0.0019915,2041.944845199585
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,20,8,4,0.002791,2054.24884724617
 , , ,96,16,32,0.00027,2065.1693136692047
 , , ,50,16,100,0.0002785,2076.160928964615
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,8,4,0.0038585,2089.0731341838837
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,16,0.000282,2101.0675184726715
 , , ,50,16,20,0.000307,2112.097391605377
 , , ,96,16,20,0.0002475,2123.073541164398
 , , ,80,16,20,0.0002465,2133.893706560135
 , , ,100,16,20,0.000258,2144.7728340625763
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,20,0.000272,2155.791750192642
 , , ,4,16,256,0.000251,2166.7385284900665
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,8,4,0.0028079999999999997,2178.9566838741302
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,16,8,4,0.0027575,2191.3726482391357
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,4,0.003806,2204.4322838783264
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,16,4,0.003971000000000001,2218.230135679245
 , , ,100,16,100,0.00029299999999999997,2229.0291860103607
 , , ,16,16,20,0.000286,2240.3894827365875
 , , ,20,16,20,0.00029549999999999997,2251.592490196228
 , , ,128,16,20,0.0002915,2262.5050032138824
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,4,0.0037655,2275.4163150787354
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,128,16,0.001009,2286.799961566925
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,100,0.000249,2298.4618725776672
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,16,4,0.0051205,2311.2932760715485
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,16,4,0.005023,2324.734261035919
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,20,0.00028700000000000004,2336.2169382572174
