p0,p1,p2,p3,p4,p5,isize,objective,elapsed_sec
 , , ,16,32,50,30,0.002484,4952.539380311966
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,128,4,30,0.0086555,4983.126522541046
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,32,20,30,0.003982,5442.228841304779
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,128,30,0.0021205,5849.786008119582
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,32,30,0.0026430000000000004,6059.60343527794
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,8,30,0.012838,6091.735757827759
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,128,64,30,0.003564500000000001,6606.333314418793
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,50,256,30,0.0041235,6692.590669393538
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,50,20,30,0.0071,6825.189125061035
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,50,30,0.0050425,6981.221254587174
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,4,50,30,0.00235,7217.908814907074
 , , ,16,20,128,30,0.0026195000000000003,7271.2304430007935
 , , ,8,50,128,30,0.0014175,7331.432289361956
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,2048,128,30,0.006884,7896.494196653365
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,20,30,0.0027165,8237.364905834198
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,8,2048,50,30,0.0036875,8268.991725921629
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,50,4,30,0.0032495,8818.48229598999
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,32,50,30,0.0026089999999999998,8840.844846487045
 , , ,8,50,256,30,0.002427,9395.022347450256
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,4,50,30,0.0024860000000000004,9903.958018302916
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,16,50,32,30,0.0037,10403.55177974701
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,64,30,0.003351,11035.437778234482
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,50,80,50,30,0.0038635,11504.652778863909
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,64,20,30,0.0036534999999999996,11992.727019786837
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,128,4,100,30,0.0033765,12480.124115228653
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,256,30,0.004797999999999999,13168.61646771431
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,2048,8,30,0.00808,13198.853272199629
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,50,50,30,0.003467,13874.24411392212
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,96,20,64,30,0.004332,14300.346836566925
