p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,actually_measured,lookahead,model_name,acquisition_function
8,64,#pragma clang unrolling full,#pragma omp parallel for,256,64,100,compact,cores,-11.196163502879259,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,128,#pragma clang unrolling full,#pragma omp parallel for,256,96,100,compact,cores,-9.911368434683858,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,200, ,#pragma omp parallel for,256,96,200,compact,threads,-16.034848790142494,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
8,64,#pragma clang unrolling full, ,256,128,100,compact,cores,-11.12867510430754,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,80,#pragma clang unrolling full,#pragma omp parallel for,128,96,100,compact,cores,-10.832424105127641,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,80,#pragma clang unrolling full,#pragma omp parallel for,256,32,40,compact,cores,-13.47823680359983,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,128,#pragma clang unrolling full, ,256,64,100,compact,cores,-19.46623198191325,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,10,#pragma clang unrolling full,#pragma omp parallel for,256,128,100,compact,cores,-19.39119513829549,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,64,#pragma clang unrolling full,#pragma omp parallel for,256,128,100,compact,cores,-19.414962609608967,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,100,#pragma clang unrolling full,#pragma omp parallel for,16,32,40,compact,sockets,-19.41291658083598,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,64,#pragma clang unrolling full, ,16,256,64,compact,cores,-20.477831919987995,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,64,#pragma clang unrolling full, ,96,32,64,balanced,sockets,-5.5637312181522125,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,200,#pragma clang unrolling full,#pragma omp parallel for,256,96,200,compact,sockets,-15.76487475782785,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
7,64, , ,8,128,64,compact,sockets,-20.281114896138508,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,80,#pragma clang unrolling full,#pragma omp parallel for,96,8,64,balanced,sockets,-19.6050124168396,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,64, ,#pragma omp parallel for,16,16,100,compact,cores,-19.50633931159973,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,100,#pragma clang unrolling full,#pragma omp parallel for,96,16,80,balanced,cores,-20.69712011019389,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,200,#pragma clang unrolling full, ,96,16,64,balanced,cores,-20.517320156097412,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,200, ,#pragma omp parallel for,96,128,128,compact,sockets,-17.34728642386188,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,100,#pragma clang unrolling full, ,256,32,100,compact,cores,-7.184441065984878,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,64,#pragma clang unrolling full,#pragma omp parallel for,96,32,100,balanced,sockets,-20.627843221028645,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,64,#pragma clang unrolling full, ,96,32,128,balanced,sockets,-20.507169087727863,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,40, , ,96,64,40,balanced,sockets,-20.441690524419148,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,80,#pragma clang unrolling full, ,96,16,40,compact,sockets,-20.50110912322998,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,64,#pragma clang unrolling full,#pragma omp parallel for,32,256,200,balanced,cores,-19.91182025273641,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,80,#pragma clang unrolling full,#pragma omp parallel for,256,64,100,compact,cores,-9.936354815833617,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
8,64,#pragma clang unrolling full,#pragma omp parallel for,256,128,100,compact,cores,-13.517249468323945,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,100, , ,8,128,200,compact,sockets,-20.29907162984212,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,100,#pragma clang unrolling full, ,256,128,20,compact,cores,-20.401683568954468,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,100,#pragma clang unrolling full,#pragma omp parallel for,96,128,100,compact,cores,-19.465477387110393,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
7,100,#pragma clang unrolling full, ,256,96,100,compact,cores,-20.299097299575806,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,100,#pragma clang unrolling full,#pragma omp parallel for,256,128,128,compact,cores,-19.580145120620728,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,200,#pragma clang unrolling full,#pragma omp parallel for,32,128,100,compact,sockets,-7.789291258480509,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,40, , ,256,4,64,balanced,sockets,-3.275463071834169e-06,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,100, , ,16,256,64,balanced,threads,-3.4215293553954416e-06,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,160,#pragma clang unrolling full,#pragma omp parallel for,256,128,100,balanced,sockets,-15.853007382186956,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
8,20,#pragma clang unrolling full, ,16,32,200,balanced,sockets,-4.2163856710892826e-06,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,200,#pragma clang unrolling full,#pragma omp parallel for,256,128,100,compact,cores,-16.684648905730455,False,1,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
7,200, , ,16,16,100,balanced,threads,-4.0692348456331385e-06,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200, , ,16,256,64,compact,sockets,-20.37833325068156,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,100, ,#pragma omp parallel for,128,16,64,balanced,threads,-21.70942234992981,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,20,#pragma clang unrolling full,#pragma omp parallel for,16,8,200,compact,sockets,-20.659079949061077,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,64, , ,256,16,200,compact,cores,-19.391253630320232,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,64, , ,64,128,80,balanced,sockets,-19.439540942509968,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,100,#pragma clang unrolling full, ,256,256,200,compact,sockets,-19.369128863016766,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,100,#pragma clang unrolling full, ,256,2,100,balanced,sockets,-19.474212010701496,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,200, , ,256,2,100,balanced,cores,-19.940317312876385,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,100,#pragma clang unrolling full, ,256,128,10,balanced,sockets,-20.13614519437154,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
8,200, , ,256,2,100,balanced,cores,-19.443626483281452,True,0,GaussianProcessRegressor(kernel=DotProduct(sigma_0=1) + WhiteKernel(noise_level=1)),ei
7,80,#pragma clang unrolling full, ,96,32,64,balanced,sockets,-7.874835848412039,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
7,100,#pragma clang unrolling full, ,16,16,100,balanced,sockets,-2.7791075899561605e-05,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,100, ,#pragma omp parallel for,16,8,200,balanced,sockets,-0.07046281253147028,False,1,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
7,64, , ,32,4,100,balanced,sockets,-2.6311806096559023e-05,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
5,80,#pragma clang unrolling full,#pragma omp parallel for,8,256,100,balanced,sockets,-3.379729622506571e-05,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,100, , ,16,256,64,balanced,cores,-2.177859311575232e-06,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,64,#pragma clang unrolling full,#pragma omp parallel for,96,128,64,compact,cores,-2.778192554279365e-05,False,1,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200,#pragma clang unrolling full, ,4,16,100,balanced,sockets,-19.87732474009196,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,64, ,#pragma omp parallel for,256,256,80,balanced,sockets,-20.627385059992474,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,64,#pragma clang unrolling full,#pragma omp parallel for,16,128,100,balanced,cores,-20.68918474515279,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,64,#pragma clang unrolling full,#pragma omp parallel for,64,8,64,balanced,sockets,-19.889829794565838,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,20, , ,256,2,80,balanced,sockets,-18.132988532384235,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,40, ,#pragma omp parallel for,16,128,100,balanced,cores,-20.532274961471558,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,64, , ,256,4,40,balanced,sockets,-18.053068319956463,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,20, , ,256,8,64,scatter,threads,-17.606705983479817,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
5,64, , ,256,8,128,balanced,sockets,-19.17402180035909,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,200, ,#pragma omp parallel for,16,96,40,balanced,cores,-20.697308381398518,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,40,#pragma clang unrolling full, ,4,32,160,compact,cores,-19.369337399800617,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
5,100, ,#pragma omp parallel for,8,256,80,compact,sockets,-19.423429648081463,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,160, ,#pragma omp parallel for,16,256,160,balanced,sockets,-20.57786687215169,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,64,#pragma clang unrolling full, ,4,128,10,balanced,sockets,-19.2987167040507,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,200, ,#pragma omp parallel for,16,2,20,balanced,cores,-20.584922075271606,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,10,#pragma clang unrolling full,#pragma omp parallel for,32,4,100,compact,cores,-20.560593525568645,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,128,#pragma clang unrolling full, ,32,16,100,compact,sockets,-20.377496878306072,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
6,100,#pragma clang unrolling full,#pragma omp parallel for,16,128,64,balanced,cores,-18.5873122215271,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,64, ,#pragma omp parallel for,96,256,80,balanced,sockets,-20.54265038172404,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,40,#pragma clang unrolling full, ,16,256,10,compact,sockets,-19.469202041625977,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,64, , ,256,128,128,balanced,cores,-20.256365935007732,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,64,#pragma clang unrolling full,#pragma omp parallel for,8,128,200,balanced,cores,-20.66356937090556,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200, , ,8,32,64,compact,sockets,-19.421687364578247,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,200, ,#pragma omp parallel for,16,4,200,compact,cores,-19.412602106730144,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,40, , ,96,256,64,compact,cores,-19.648569504419964,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,100,#pragma clang unrolling full, ,96,128,64,compact,sockets,-17.76447645823161,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,64,#pragma clang unrolling full,#pragma omp parallel for,2,256,200,compact,sockets,-17.65720534324646,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,100, , ,96,16,40,compact,cores,-19.8942969640096,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,160,#pragma clang unrolling full,#pragma omp parallel for,96,16,200,compact,sockets,-19.42862017949422,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,64,#pragma clang unrolling full, ,256,256,10,compact,cores,-20.294890244801838,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,40, , ,256,8,64,scatter,sockets,-17.838874340057373,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,200, , ,4,16,100,balanced,cores,-20.284703016281128,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,200, ,#pragma omp parallel for,16,16,100,balanced,sockets,-20.596376339594524,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,160, , ,16,16,100,balanced,cores,-20.3709933757782,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
6,200, , ,32,16,100,balanced,threads,-18.44296105702718,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,100,#pragma clang unrolling full,#pragma omp parallel for,64,16,200,balanced,cores,-17.835047086079914,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,64, ,#pragma omp parallel for,16,16,80,balanced,cores,-20.600261131922405,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,40,#pragma clang unrolling full, ,256,16,100,balanced,sockets,-20.346067031224568,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,100, ,#pragma omp parallel for,16,4,10,balanced,cores,-19.339952389399212,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,64, ,#pragma omp parallel for,96,128,200,compact,sockets,-17.627029259999592,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
5,200,#pragma clang unrolling full,#pragma omp parallel for,96,256,64,balanced,cores,-19.512938102086384,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,64, , ,8,256,100,balanced,cores,-20.220381498336792,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,40, , ,96,16,100,balanced,cores,-19.269868930180866,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,100, , ,8,16,40,compact,sockets,-20.446720202763874,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,160,#pragma clang unrolling full, ,96,128,64,balanced,sockets,-17.84467951456706,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,100,#pragma clang unrolling full,#pragma omp parallel for,8,256,80,compact,sockets,-19.92715859413147,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
8,10,#pragma clang unrolling full,#pragma omp parallel for,16,128,200,balanced,sockets,-19.441537380218506,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
8,100,#pragma clang unrolling full,#pragma omp parallel for,4,8,200,balanced,sockets,-19.363749106725056,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
7,64, , ,96,4,200,compact,cores,-20.243406454722088,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
7,200,#pragma clang unrolling full, ,256,256,64,balanced,cores,-20.476446390151978,True,0,"GaussianProcessRegressor(kernel=Matern(length_scale=1, nu=1.5))",ei
8,100, , ,16,128,100,compact,sockets,-19.339487473169964,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,100, , ,32,4,160,balanced,sockets,-19.343931516011555,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,100, ,#pragma omp parallel for,16,16,200,scatter,sockets,-17.748587528864544,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,100,#pragma clang unrolling full, ,128,256,64,compact,cores,-20.270669142405193,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,20,#pragma clang unrolling full,#pragma omp parallel for,256,16,200,compact,cores,-20.52158800760905,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
7,80, , ,256,128,20,balanced,sockets,-20.26650134722392,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,160, ,#pragma omp parallel for,16,256,100,balanced,sockets,-19.499529600143433,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
8,20, ,#pragma omp parallel for,16,8,200,balanced,sockets,-19.919749577840168,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
4,64,#pragma clang unrolling full, ,32,64,200,balanced,threads,-17.856905301411945,True,0,GaussianProcessRegressor(kernel=RBF(length_scale=1)),ei
