p0,p1,p2,p3,p4,p5,isize,objective,elapsed_sec
 , , ,80,20,20,2000,4.7652285,5118.2874262332925
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,100,100,2000,5.101463,5137.557858228684
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,20,20,2000,5.949688,5508.87457585335
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,128,16,100,2000,4.5683235,5815.25083732605
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,80,128,2000,9.337268,5860.112974643707
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,4,32,2000,4.621494500000002,6400.415113925934
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,32,2000,5.094106,6698.354041099548
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,50,80,2000,9.1026015,6721.534402608872
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,80,16,2000,5.2462275,6756.592486858368
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,8,128,2000,6.058058,7120.983665466309
 , , ,20,50,64,2000,5.9051395000000015,7475.500065088271
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,8,20,2000,5.7816145,7907.145496606828
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,64,64,2000,5.4436065000000005,8260.6290371418
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,16,16,8,2000,5.9536620000000005,8685.026778936386
 , , ,20,4,16,2000,5.210304,8711.013933897018
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,50,50,2000,5.84144,8804.377830505371
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,16,50,2000,5.721411,9022.922545194626
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,20,100,2000,4.8279440000000005,9313.830011606216
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,20,16,2000,4.113297,10041.484266996384
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,50,2000,5.5327525,10569.98444032669
 , , ,96,50,50,2000,5.613809,11248.869348526001
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,32,20,2000,5.1310850000000015,11304.93388748169
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,4,80,2000,4.7814440000000005,11324.372413873672
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,8,256,2000,6.0120325,11345.47444152832
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,32,50,2000,4.6001295,11869.960555791855
